system:index,day,fid,first,ident,image_date,lat,long,month,ndvi,plot_type,targetdate,year,.geo
00000000000000000010,4,17,0.39264,EMP1,2021-06-04,64.13398606666667,-51.383540658333324,6,0.39264,,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.383541332768665,64.13398406701289]}"
00000000000000000011,4,18,0.3742889647326507,EMP2,2021-06-04,64.13081413333333,-51.389356075,6,0.3742889647326507,,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.38935600054238,64.13081364616389]}"
00000000000000000012,4,19,0.655860349127182,EMP3,2021-06-04,64.13361051666666,-51.37621136666667,6,0.655860349127182,,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37621057063681,64.1336095025244]}"
00000000000000000013,4,20,0.6710659898477157,EMP4,2021-06-04,64.13368233333333,-51.36753845833332,6,0.6710659898477157,,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.36753761908786,64.13368084814125]}"
00000000000000000000,4,1,0.5459459459459459,ERI1,2021-06-04,64.13459555,-51.38365461,6,0.5459459459459459,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.38365281029501,64.13459496385721]}"
00000000000000000002,4,3,0.505786249149081,ERI3,2021-06-04,64.1348,-51.37889511,6,0.505786249149081,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37889494947099,64.13480008250566]}"
00000000000000000003,4,4,0.0824524312896406,ERI4,2021-06-04,64.13332452,-51.36655904,6,0.0824524312896406,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.36656107595715,64.13332412005698]}"
00000000000000000004,4,5,0.21915668922436232,SAL1,2021-06-04,64.13254961,-51.37292317,6,0.21915668922436232,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.372924213160424,64.13254823647368]}"
00000000000000000007,4,8,0.5221238938053098,SAL4,2021-06-04,64.13739067,-51.37406948,6,0.5221238938053098,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37407020213116,64.13739082021772]}"
00000000000000000008,4,9,-0.06462882096069869,SIL4,2021-06-04,64.13605115,-51.36812747,6,-0.06462882096069869,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.36812622042691,64.13605308990171]}"
00000000000000000009,4,10,-0.06766917293233082,SIL1,2021-06-04,64.13284801,-51.3745045,6,-0.06766917293233082,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37450719403439,64.13284699624425]}"
0000000000000000000c,4,13,0.4789473684210526,LOI1,2021-06-04,64.13226664,-51.37588215,6,0.4789473684210526,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.375880597158854,64.1322673131073]}"
0000000000000000000d,4,14,0.03563941299790356,LOI2,2021-06-04,64.13160858,-51.37052326,6,0.03563941299790356,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.370525216793666,64.1316073661514]}"
0000000000000000000e,4,15,0.0028011204481792717,LOI3,2021-06-04,64.13239522,-51.37081177,6,0.0028011204481792717,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37081059926108,64.13239662703786]}"
0000000000000000000f,4,16,0.41925343811394894,LOI4,2021-06-04,64.13279118,-51.37021976,6,0.41925343811394894,P,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37022199792203,64.13278902793057]}"
00000000000000000001,4,2,0.13478260869565217,ERI2,2021-06-04,64.13121714,-51.38733502,6,0.13478260869565217,P I,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.38733602776516,64.13121496525869]}"
00000000000000000005,4,6,0.5080459770114942,SAL2,2021-06-04,64.13163775,-51.37143739,6,0.5080459770114942,P I J,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.37143487340857,64.13163857985877]}"
0000000000000000000a,4,11,0.18015102481121897,SIL2,2021-06-04,64.13642256,-51.3703112,6,0.18015102481121897,P I J,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.3703111799431,64.13642319528913]}"
00000000000000000006,4,7,0.644076060458313,SAL3,2021-06-04,64.13371101,-51.36778297,6,0.644076060458313,P J,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.3677828696458,64.13371206184863]}"
0000000000000000000b,4,12,0.4726507713884993,SIL3,2021-06-04,64.1369875,-51.37361183,6,0.4726507713884993,P J,2021-06-04,2021,"{""type"":""Point"",""coordinates"":[-51.373610914722654,64.13698950112291]}"
