system:index,day,fid,first,ident,image_date,lat,long,month,ndvi,plot_type,targetdate,year,.geo
00000000000000000010,3,17,0.7065810593900481,EMP1,2024-09-03,64.13398606666667,-51.383540658333324,9,0.7065810593900481,,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.383541332768665,64.13398406701289]}"
00000000000000000011,3,18,0.41074737492279184,EMP2,2024-09-03,64.13081413333333,-51.389356075,9,0.41074737492279184,,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.38935600054238,64.13081364616389]}"
00000000000000000012,3,19,0.5992063492063492,EMP3,2024-09-03,64.13361051666666,-51.37621136666667,9,0.5992063492063492,,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37621057063681,64.1336095025244]}"
00000000000000000013,3,20,0.7024737377160285,EMP4,2024-09-03,64.13368233333333,-51.36753845833332,9,0.7024737377160285,,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.36753761908786,64.13368084814125]}"
00000000000000000000,3,1,0.4931129476584022,ERI1,2024-09-03,64.13459555,-51.38365461,9,0.4931129476584022,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.38365281029501,64.13459496385721]}"
00000000000000000002,3,3,0.5780874579529073,ERI3,2024-09-03,64.1348,-51.37889511,9,0.5780874579529073,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37889494947099,64.13480008250566]}"
00000000000000000003,3,4,0.5889744629104176,ERI4,2024-09-03,64.13332452,-51.36655904,9,0.5889744629104176,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.36656107595715,64.13332412005698]}"
00000000000000000004,3,5,0.5763239875389408,SAL1,2024-09-03,64.13254961,-51.37292317,9,0.5763239875389408,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.372924213160424,64.13254823647368]}"
00000000000000000007,3,8,0.6919029523531132,SAL4,2024-09-03,64.13739067,-51.37406948,9,0.6919029523531132,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37407020213116,64.13739082021772]}"
00000000000000000008,3,9,0.42616033755274263,SIL4,2024-09-03,64.13605115,-51.36812747,9,0.42616033755274263,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.36812622042691,64.13605308990171]}"
00000000000000000009,3,10,0.5788113695090439,SIL1,2024-09-03,64.13284801,-51.3745045,9,0.5788113695090439,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37450719403439,64.13284699624425]}"
0000000000000000000c,3,13,0.4972847168347556,LOI1,2024-09-03,64.13226664,-51.37588215,9,0.4972847168347556,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.375880597158854,64.1322673131073]}"
0000000000000000000d,3,14,0.3944374209860936,LOI2,2024-09-03,64.13160858,-51.37052326,9,0.3944374209860936,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.370525216793666,64.1316073661514]}"
0000000000000000000e,3,15,0.5222129086336965,LOI3,2024-09-03,64.13239522,-51.37081177,9,0.5222129086336965,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37081059926108,64.13239662703786]}"
0000000000000000000f,3,16,0.43966712898751736,LOI4,2024-09-03,64.13279118,-51.37021976,9,0.43966712898751736,P,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37022199792203,64.13278902793057]}"
00000000000000000001,3,2,0.667060212514758,ERI2,2024-09-03,64.13121714,-51.38733502,9,0.667060212514758,P I,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.38733602776516,64.13121496525869]}"
00000000000000000005,3,6,0.585081585081585,SAL2,2024-09-03,64.13163775,-51.37143739,9,0.585081585081585,P I J,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.37143487340857,64.13163857985877]}"
0000000000000000000a,3,11,0.2974537037037037,SIL2,2024-09-03,64.13642256,-51.3703112,9,0.2974537037037037,P I J,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.3703111799431,64.13642319528913]}"
00000000000000000006,3,7,0.7071356104159622,SAL3,2024-09-03,64.13371101,-51.36778297,9,0.7071356104159622,P J,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.3677828696458,64.13371206184863]}"
0000000000000000000b,3,12,0.584055459272097,SIL3,2024-09-03,64.1369875,-51.37361183,9,0.584055459272097,P J,2024-09-03,2024,"{""type"":""Point"",""coordinates"":[-51.373610914722654,64.13698950112291]}"
